word,definition
abate,to reduce in intensity
aberrant,deviating from the norm
abeyance,temporary suspension
abscond,to leave secretly
abstemious,moderate in eating and drinking
admonish,to warn or reprimand
adulterate,to make impure
aesthetic,relating to beauty
aggrandize,to increase in power
alacrity,eagerness
amalgamate,to combine
ambiguous,unclear in meaning
ameliorate,to improve
anachronism,something out of its time period
analogous,similar in some respects
anarchy,absence of government
anecdotal,based on personal accounts
animosity,strong hostility
anomaly,deviation from normal
antipathy,strong dislike
apathy,lack of interest
appease,to pacify
approbation,approval
arbitrary,based on random choice
arcane,mysterious
arduous,difficult
artless,without cunning
ascetic,practicing self-denial
assuage,to make less intense
attenuate,to weaken
audacious,bold
austere,severe in manner
avarice,greed
banal,lacking originality
belie,to contradict
benevolent,kind
bolster,to support
bombastic,pompous
boorish,rude
burgeon,to grow rapidly
buttress,to support
camaraderie,friendship
candor,honesty
capricious,unpredictable
castigate,to criticize severely
catalyst,something that causes change
caustic,harsh or corrosive
censure,to criticize
chastise,to punish
chicanery,trickery
coalesce,to come together
cogent,convincing
commensurate,proportionate
compendium,summary
complaisant,eager to please
conciliatory,intended to placate
condone,to overlook
confound,to confuse
connoisseur,expert judge
contentious,argumentative
contrite,remorseful
conundrum,puzzle
conventional,traditional
convoluted,complex
copious,abundant
corroborate,to confirm
cosmopolitan,worldly
craven,cowardly
credulous,gullible
cryptic,mysterious
culpable,deserving blame
cursory,hasty
cynical,distrustful
daunt,to intimidate
dearth,scarcity
debacle,disaster
deference,respect
defunct,no longer existing
deleterious,harmful
delineate,to describe
demur,to object
denigrate,to belittle
deride,to mock
derivative,unoriginal
desiccate,to dry out
desultory,lacking purpose
deterrent,something that discourages
devious,dishonest
didactic,instructive
diffident,lacking confidence
digress,to stray from topic
dilatory,slow
diminutive,small
dirge,funeral song
disabuse,to free from error
discerning,showing good judgment
discordant,conflicting
discrepancy,difference
discrete,separate
disingenuous,insincere
disparage,to belittle
disparate,different
disseminate,to spread
dissonance,lack of harmony
distend,to swell
divergent,different
divulge,to reveal
dogmatic,stubbornly opinionated
dormant,inactive
dupe,to deceive
ebullient,enthusiastic
eclectic,diverse
efficacy,effectiveness
effrontery,boldness
elegy,mournful poem
elicit,to draw out
elucidate,to clarify
emulate,to imitate
endemic,native to a region
enervate,to weaken
engender,to cause
enigma,mystery
ennui,boredom
ephemeral,short-lived
equanimity,composure
equivocate,to speak ambiguously
erudite,scholarly
esoteric,understood by few
eulogy,speech of praise
euphemism,mild expression
evanescent,fading away
exacerbate,to worsen
exculpate,to clear of blame
execrable,detestable
exigent,urgent
exonerate,to absolve
expedite,to speed up
expunge,to erase
extant,still existing
extol,to praise
